dropout,gbm_nan_block,twin_block,diff,lo95,hi95
0.0,0.8159509875175075,0.793931411712481,-0.022019575805026448,-0.02786736972899554,-0.016232614502745494
0.1,0.8086502205784197,0.7823664067648286,-0.026283813813591128,-0.03230774879045778,-0.02040126295961216
0.2,0.8056428994831981,0.7765543786193613,-0.029088520863836842,-0.0352858702528666,-0.023122548459661434
0.3,0.7918267756191981,0.7637713652236191,-0.028055410395579017,-0.03461995645258868,-0.02164963921984468
0.4,0.7837382513121344,0.7564500382463062,-0.027288213065828182,-0.03454871153215179,-0.020367081066937878
0.7,0.7605122316666701,0.7305721577220458,-0.02994007394462439,-0.03790179450782545,-0.022153363137760427
0.85,0.7524518590512373,0.7170726187171702,-0.03537924033406714,-0.04420179224278069,-0.02721955656765662
