warmup_days,n_rows,auroc
7,47875,0.7288434537292984
14,47593,0.7500570021451515
30,46994,0.7690268025286974
60,46324,0.7791428294297099
90,44959,0.7840804185349629
180,42358,0.7872853352638992
365,36381,0.7920026801466046
